Date,GDP_Growth_QoQ,CPI_YoY,Yield_Spread_10_2,IG_Credit_Spread,ISM_Manufacturing
2019-01-01,0.656,1.677,1.829,1.343,50.3
2019-02-01,0.197,1.707,1.696,1.227,47.0
2019-03-01,-0.42,1.711,1.962,1.164,46.5
2019-04-01,-0.306,1.678,1.816,1.298,52.3
2019-05-01,-0.793,1.709,1.861,1.342,50.3
2019-06-01,-1.107,1.629,2.121,1.252,51.4
2019-07-01,-0.9,1.525,1.945,1.359,53.9
2019-08-01,-1.094,1.604,1.942,1.182,47.1
2019-09-01,-1.286,1.549,1.945,1.215,47.9
2019-10-01,-0.911,1.499,1.661,1.375,46.3
2019-11-01,-0.33,1.521,1.769,1.174,52.6
2019-12-01,0.012,1.654,1.755,1.382,49.6
2020-01-01,0.37,1.798,1.973,1.445,49.7
2020-02-01,-0.279,1.859,1.816,1.322,48.7
2020-03-01,0.024,1.706,1.884,1.275,48.1
2020-04-01,0.015,1.804,1.845,1.193,44.7
2020-05-01,-0.274,1.932,1.728,1.365,47.0
2020-06-01,-0.353,1.934,2.032,1.304,48.6
2020-07-01,-0.453,1.986,2.041,1.121,48.1
2020-08-01,-0.805,1.896,1.982,1.141,50.8
2020-09-01,-1.464,1.834,2.021,1.315,50.3
2020-10-01,-1.096,1.819,1.7,1.209,46.8
2020-11-01,-0.829,1.809,1.874,1.456,47.7
2020-12-01,-0.173,1.796,1.947,1.226,49.5
2021-01-01,0.309,1.819,1.974,1.142,47.2
2021-02-01,0.336,1.8,1.546,1.383,50.3
2021-03-01,0.626,1.903,1.598,1.277,48.3
2021-04-01,1.148,1.765,1.897,1.187,50.0
2021-05-01,0.698,1.866,1.606,1.201,49.5
2021-06-01,0.488,1.946,1.595,1.151,47.1
2021-07-01,0.523,1.941,1.63,1.16,44.0
2021-08-01,-0.099,1.913,1.872,1.15,48.9
2021-09-01,-0.518,1.963,1.772,1.317,51.3
2021-10-01,-0.176,1.919,1.635,1.089,49.2
2021-11-01,-0.322,1.962,1.682,1.177,48.2
2021-12-01,-0.092,1.974,1.84,1.026,49.0
2022-01-01,-0.124,1.9,1.535,1.393,50.0
2022-02-01,0.388,2.015,1.608,1.187,43.5
2022-03-01,0.44,2.076,1.373,0.934,48.0
2022-04-01,0.427,2.094,1.752,0.917,48.1
2022-05-01,0.252,2.233,1.704,1.033,48.5
2022-06-01,-0.195,2.344,1.345,1.356,47.5
2022-07-01,-0.785,2.325,1.585,1.144,43.9
2022-08-01,0.4,2.333,1.224,1.059,45.7
2022-09-01,0.466,2.347,1.528,1.25,47.7
2022-10-01,0.808,2.389,1.672,1.218,46.6
2022-11-01,0.333,2.457,1.331,1.059,45.5
2022-12-01,0.471,2.485,1.36,1.125,47.2
2023-01-01,0.553,2.495,1.639,0.989,47.0
2023-02-01,0.125,2.385,1.426,0.93,47.9
2023-03-01,0.913,2.358,1.512,0.976,47.5
2023-04-01,1.373,2.323,1.646,1.266,46.9
2023-05-01,1.103,2.309,1.792,0.965,45.0
2023-06-01,1.384,2.25,1.455,1.232,42.3
2023-07-01,1.651,2.217,1.636,0.828,48.4
2023-08-01,1.64,2.127,1.846,0.867,50.7
2023-09-01,1.611,2.127,1.575,1.212,48.2
2023-10-01,1.427,2.03,1.507,1.028,49.1
2023-11-01,1.218,2.158,1.372,1.014,44.3
2023-12-01,0.461,2.126,1.635,1.281,44.5
